NGA,PolityID,PolityName,Year,Note,polity-territories,polity-populations,population-of-the-largest-settlements,settlement-hierarchies,administrative-levels,religious-levels,military-levels,professional-military-officers,professional-soldiers,professional-priesthoods,full-time-bureaucrats,examination-systems,merit-promotions,specialized-government-buildings,formal-legal-codes,judges,courts,professional-lawyers,irrigation-systems,drinking-water-supplies,markets,food-storage-sites,roads,bridges,canals,ports,mines-or-quarries,mnemonic-devices,nonwritten-records,written-records,scripts,non-phonetic-writings,phonetic-alphabetic-writings,lists-tables-and-classifications,calendars,sacred-texts,religious-literatures,practical-literatures,histories,philosophies,scientific-literatures,fictions,articles,tokens,precious-metals,foreign-coins,indigenous-coins,paper-currencies,couriers,postal-stations,general-postal-services
Sogdiana,465,uz_khwarasm_1,-600,,,86073.06523317655,30560.256452884325,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,,
Sogdiana,463,kz_andronovo,-1800,,9312.760646345228,,137.47534878501904,1.885407747258776,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,1.0,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,,,
Sogdiana,463,kz_andronovo,-1700,,16447.68949180634,,155.5592571726607,1.2514494040920412,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,1.0,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,,,
Sogdiana,463,kz_andronovo,-1600,,7290.819787761592,,50.99983375227157,1.9922325050893193,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,1.0,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,,,
Sogdiana,463,kz_andronovo,-1500,,8437.571089926127,,149.97821987690358,1.0925028791447988,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,1.0,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,,,
Sogdiana,463,kz_andronovo,-1400,,16326.709518652144,,198.57709722997095,1.6583086209748692,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,1.0,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,,,
Sogdiana,463,kz_andronovo,-1300,,8646.824686030524,,70.8023943014614,1.2994349023825356,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,1.0,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,,,
Sogdiana,463,kz_andronovo,-1200,,10485.42534644115,,105.43532255844248,1.1876711221962384,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,1.0,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,,,
,574,gb_anglo_saxon_1,500,,,3000000.0,5000.0,6.0,3.0,5.0,3.0,,1.0,,1.0,,,1.0,0.0,0.0,1.0,,,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.0,0.5,0.5,0.5,,0.5,,1.0,0.5,,0.5,0.5,0.5,0.5,1.0,,1.0,1.0,0.5,0.0,,,
,574,gb_anglo_saxon_1,600,,,3000000.0,5000.0,6.0,3.0,5.0,3.0,,1.0,,1.0,,,1.0,0.0,0.0,1.0,,,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.0,0.5,0.5,0.5,,0.5,,1.0,0.5,,0.5,0.5,0.5,0.5,1.0,,1.0,1.0,0.5,0.0,,,
,574,gb_anglo_saxon_1,700,,,3000000.0,5000.0,6.0,3.0,5.0,3.0,,1.0,,1.0,,,1.0,0.0,0.0,1.0,,,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.0,0.5,0.5,0.5,,0.5,,1.0,0.5,,0.5,0.5,0.5,0.5,1.0,,1.0,1.0,0.5,0.0,,,
,574,gb_anglo_saxon_1,800,,,3000000.0,5000.0,6.0,3.0,5.0,3.0,,1.0,,1.0,,,1.0,0.0,0.0,1.0,,,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.0,0.5,0.5,0.5,,0.5,,1.0,0.5,,0.5,0.5,0.5,0.5,1.0,,1.0,1.0,0.5,0.0,,,
,574,gb_anglo_saxon_1,900,,,3000000.0,5000.0,6.0,3.0,5.0,3.0,,1.0,,1.0,,,1.0,0.0,0.0,1.0,,,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.0,0.5,0.5,0.5,,0.5,,1.0,0.5,,0.5,0.5,0.5,0.5,1.0,,1.0,1.0,0.5,0.0,,,
,606,gb_anglo_saxon_2,1000,,130279.0,1500000.0,12000.0,5.0,5.0,5.0,3.0,,1.0,1.0,,,,1.0,1.0,0.0,1.0,,,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,,1.0,0.0,,,
,563,us_antebellum,1800,,214410611.0,3929214.0,25000.0,7.0,11.0,,12.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0
,633,sl_anuradhapura_1,-300,,,,,3.0,4.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,0.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,
,633,sl_anuradhapura_1,-200,,,,,3.0,4.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,0.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,
,633,sl_anuradhapura_1,-100,,,,,3.0,4.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,0.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,
,633,sl_anuradhapura_1,0,,,,,3.0,4.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,0.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,
,635,sl_anuradhapura_2,100,,,,,4.0,4.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,
,635,sl_anuradhapura_2,200,,,,,4.0,4.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,
