NGA,PolityID,PolityName,Section,Subsection,value_from,value_to,year_from,year_to,is_disputed,is_uncertain
Upper Egypt,361,eg_thulunid_ikhshidid,sc,polity-territories,800000,1000000,,,False,False
Susiana,495,ir_elam_1,sc,polity-territories,200000,300000,,,False,False
Susiana,495,ir_elam_1,sc,polity-territories,200000,300000,,,False,False
Susiana,502,ir_elam_8,sc,polity-territories,,,,,False,False
Susiana,497,ir_elam_3,sc,polity-territories,,,,,False,False
Susiana,500,ir_elam_6,sc,polity-territories,290000,330000,,,False,False
Susiana,499,ir_elam_5,sc,polity-territories,230000,260000,,,False,False
Susiana,499,ir_elam_5,sc,polity-territories,230000,260000,,,False,False
Susiana,498,ir_elam_4,sc,polity-territories,,,,,False,False
Susiana,496,ir_elam_2,sc,polity-territories,,,,,False,False
Susiana,501,ir_elam_7,sc,polity-territories,250000,300000,,,False,False
Susiana,501,ir_elam_7,sc,polity-territories,250000,300000,,,False,False
Susiana,503,ir_neo_elam_1,sc,polity-territories,,,,,False,False
Susiana,504,ir_neo_elam_2,sc,polity-territories,300000,340000,,,False,False
Susiana,507,ir_elymais_2,sc,polity-territories,,,,,False,False
,302,gb_tudor_stuart,sc,polity-territories,209331,209331,1601,1601,False,False
Basin of Mexico,13,mx_basin_of_mexico_8,sc,polity-territories,,,,,False,False
Middle Yellow River Valley,422,cn_erligang,sc,polity-territories,350000,400000,,,False,False
Middle Yellow River Valley,422,cn_erligang,sc,polity-territories,350000,400000,,,False,False
Middle Yellow River Valley,421,cn_erlitou,sc,polity-territories,10000,20000,,,False,False
Latium,187,it_ravenna_exarchate,sc,polity-territories,50000,50000,,,False,False
Upper Egypt,221,tn_fatimid_cal,sc,polity-territories,1400000,1400000,1000,1000,False,False
Upper Egypt,221,tn_fatimid_cal,sc,polity-territories,631000,631000,1100,1100,False,False
Crete,65,gr_crete_post_palace_2,sc,polity-territories,,,,,False,False
,546,cn_five_dyn,sc,polity-territories,,,,,False,False
,671,ni_dahomey_k,sc,polity-territories,1200,1200,1724,1724,False,True
,671,ni_dahomey_k,sc,polity-territories,5400,5400,1727,1820,False,True
,671,ni_dahomey_k,sc,polity-territories,7200,7200,1820,1892,False,True
,609,si_freetown_1,sc,polity-territories,550,550,,,False,False
Paris Basin,460,fr_bourbon_k_1,sc,polity-territories,931000,931000,1600,1600,False,False
Paris Basin,460,fr_bourbon_k_1,sc,polity-territories,2600000,2600000,1650,1650,False,False
Paris Basin,333,fr_valois_k_1,sc,polity-territories,390000,390000,1350,1350,False,False
Paris Basin,333,fr_valois_k_1,sc,polity-territories,390000,390000,1400,1400,False,False
Paris Basin,333,fr_valois_k_1,sc,polity-territories,340000,340000,1450,1450,False,False
Paris Basin,461,fr_bourbon_k_2,sc,polity-territories,2000000,2500000,,,False,False
Paris Basin,458,fr_capetian_k_2,sc,polity-territories,75000,75000,1150,1150,False,False
Paris Basin,458,fr_capetian_k_2,sc,polity-territories,80000,80000,1200,1200,False,False
Paris Basin,458,fr_capetian_k_2,sc,polity-territories,330000,330000,1250,1250,False,False
Paris Basin,458,fr_capetian_k_2,sc,polity-territories,350000,350000,1300,1300,False,False
Paris Basin,459,fr_valois_k_2,sc,polity-territories,400000,500000,,,False,False
Cambodian Basin,37,kh_funan_1,sc,polity-territories,257034,257034,,,False,False
Cambodian Basin,38,kh_funan_2,sc,polity-territories,264200,264200,,,False,False
Middle Ganga,405,in_gahadavala_dyn,sc,polity-territories,300000,350000,,,False,False
,783,in_gauda_k,sc,polity-territories,,,,,False,False
Crete,66,gr_crete_geometric,sc,polity-territories,,,,,False,False
Kachi Plain,134,af_ghur_principality,sc,polity-territories,60000,80000,1150,1150,False,False
Kachi Plain,134,af_ghur_principality,sc,polity-territories,900000,1100000,1175,1175,False,False
Kachi Plain,134,af_ghur_principality,sc,polity-territories,1600000,1700000,1200,1200,False,False
,573,ru_golden_horde,sc,polity-territories,6000000,6000000,1310,1310,False,False
,337,ru_moskva_rurik_dyn,sc,polity-territories,1240000,1240000,1478,1478,False,False
,337,ru_moskva_rurik_dyn,sc,polity-territories,1570000,1570000,1487,1487,False,False
,337,ru_moskva_rurik_dyn,sc,polity-territories,2500000,2500000,1505,1505,False,False
,337,ru_moskva_rurik_dyn,sc,polity-territories,1584,1584,,,False,False
Middle Yellow River Valley,269,cn_ming_dyn,sc,polity-territories,3900000,3900000,1400,1400,False,False
Middle Yellow River Valley,269,cn_ming_dyn,sc,polity-territories,3900000,5200000,1500,1500,False,False
Middle Yellow River Valley,269,cn_ming_dyn,sc,polity-territories,3655000,3655000,1600,1600,False,False
Middle Yellow River Valley,268,cn_yuan_dyn,sc,polity-territories,24000000,11000000,1300,1300,False,False
,624,zi_great_zimbabwe,sc,polity-territories,50000,50000,,,False,False
Sogdiana,350,af_greco_bactrian_k,sc,polity-territories,600000,800000,-200,-200,False,False
Sogdiana,350,af_greco_bactrian_k,sc,polity-territories,2200000,2200000,-180,-180,False,False
Middle Ganga,388,in_gupta_emp,sc,polity-territories,800000,900000,,,False,False
Middle Ganga,418,in_gurjara_pratihara_dyn,sc,polity-territories,1000000,1000000,,,False,False
Middle Ganga,418,in_gurjara_pratihara_dyn,sc,polity-territories,1000000,1000000,,,False,False
Paris Basin,449,fr_hallstatt_a_b1,sc,polity-territories,750,1250,,,False,False
Paris Basin,450,fr_hallstatt_b2_3,sc,polity-territories,1500,2000,,,False,False
Paris Basin,451,fr_hallstatt_c,sc,polity-territories,2500,3000,,,False,False
Paris Basin,452,fr_hallstatt_d,sc,polity-territories,7000,8000,,,False,False
Konya Plain,164,tr_hatti_new_k,sc,polity-territories,250000,350000,-1300,-1300,False,False
Konya Plain,164,tr_hatti_new_k,sc,polity-territories,300000,400000,-1200,-1200,False,False
Konya Plain,162,tr_hatti_old_k,sc,polity-territories,50000,75000,-1600,-1600,False,False
Konya Plain,162,tr_hatti_old_k,sc,polity-territories,150000,200000,-1500,-1500,False,False
Finger Lakes,101,us_haudenosaunee_1,sc,polity-territories,100000,100000,,,False,False
Finger Lakes,102,us_haudenosaunee_2,sc,polity-territories,100000,100000,1714,1800,False,False
